"doc_r_out","doc_l_out","poc_r_out","poc_l_out"
918277.84423744,3721.08153869064,933.407115526291,3226.18310113201
903176.687164227,3793.98737243056,903.420921120051,3438.3456435755
899673.898012064,3953.61713781885,885.538770154766,3820.01073169374
896012.893448259,3999.09130558129,869.439768880233,3700.25292620536
884848.546325888,4074.01844425958,847.757474754838,3825.79335513114
675102.372505361,3243.27109437031,638.673102666145,3194.59794001771
883180.877334944,4390.19944667843,797.046796292752,4376.4775827367
880117.118500085,4536.4099281291,791.389431535524,4597.40191321031
972169.79007198,5142.11069961607,871.033156597571,5121.44538353334
978136.346677393,5364.40340459051,888.15784382307,5433.14581419285
588841.702539939,3340.22299115178,541.201012856541,3404.76863675117
561608.510564719,3293.2046115457,486.45608457629,3365.91500268316
686913.205695651,4106.5276615205,561.516266667326,4035.67008521561
812489.222782142,4849.28591273654,647.260114738043,4294.75899833541
809769.306221825,4893.26010741216,647.26798070024,4148.32859271128
790984.968901433,4906.94679885624,633.719316510954,4219.16820630712
772230.574904151,4865.02230264358,617.598181765765,4065.44043610516
748504.964032276,4704.95852233745,595.509548489682,3569.14198058515
789803.320339648,5036.75476456245,622.633496908718,3765.40042221622
708468.245245305,4595.74749276421,558.917985601415,3432.86353569372
689781.499824915,4602.68065764103,535.527800197433,3601.33812474633
1157257.91965636,7924.67172000622,882.856448852823,6373.71987546904
1199381.70181768,8239.70219632006,991.490513385088,6185.63565591776
1247552.310536,8659.90251515763,1106.51106179037,6311.77529219465
634640.515494087,4483.53989808233,599.891072704899,3292.16863108785
659341.653992016,4773.7661061647,590.656561523695,3627.14580872583
649132.603371037,4797.03855548658,557.183050878596,3683.75075520955
1250913.9595271,9352.8624427448,1032.36711973359,6979.31060680877
1572867.63697348,11919.0184061341,1406.58781636577,8763.2689550214
1443580.08887818,11029.6607808573,1449.13549063378,7828.87557160252
1408007.55528541,10862.7162695325,1513.49934829478,7526.82176890136
1389607.34063017,10895.0215654078,1568.5712749324,7625.02896469268
1239158.85237356,9917.61803446861,1451.02994408523,7143.93900833951
1227809.72709818,10031.9810334012,1451.54889874601,7395.58213993696
848602.529329105,7077.41119067814,1009.69172025476,5313.43803081514
1212092.90482484,10310.1207498357,1376.25315417648,7819.23939096477
1259378.74708376,10913.9811834996,1445.87258841773,8319.68366251088
1287414.36131023,11359.0275622129,1501.46736508009,8671.54404689671
1023429.83128631,9145.1983485965,1213.78131084071,6834.61303462395
1549434.02550699,14063.7534677909,1797.69829924876,10446.628153873
867515.597154364,8003.11732924639,1060.89101382606,5941.0020673997
867458.10992239,8134.63980378144,1011.62180477785,6024.32456538066
855677.58542758,8153.30432966179,957.168687218988,6015.51344824706
1482211.80602247,14345.9100198326,1596.0664050727,10535.712265654
1580736.50529675,15515.9957367251,1805.59124057844,11295.6216389468
2030993.61469013,20191.4015042349,2463.31533584145,14510.1336187589
1402593.83852159,14072.3454980541,1885.21929466402,9852.28146175185
1793966.45403567,18055.5732985036,2427.98341563242,11968.2168966559
1188003.44202724,12011.9730770833,1691.43541131225,7655.42795040886
1157410.44848463,11759.7623745768,1603.93910474354,7232.34309098159
1898407.15196697,19364.2786157956,2561.04744272079,11480.0197375578
1105035.02013144,11390.1114445377,1587.52892075266,6816.49328949713
1029671.01187169,10738.5420343321,1424.26745227972,6500.72088230909
1064178.71578079,11258.9197325292,1411.49920881418,6979.07112583496
1707845.42248541,18233.8965182119,2193.18955736841,11202.6103135863
1765158.71254466,18862.3633157242,2385.88191917062,11009.139778136
1885051.76879839,20240.0553172019,2671.61345674765,11562.1776069429
1697567.15807973,18252.2020853911,2531.5414651378,10028.36320787
2176116.09490155,33429.512134814,3314.83683011715,52427.767743742
2429512.38160998,43363.8670210076,3950.91772802665,76003.0978917105
3134696.20911837,64198.2265296383,5493.66755333183,119448.338923973
2148408.904776,51057.85300111,4232.26438457692,100290.928372978
